#"Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
118.19999999990593,-32638.224301220704,-27764.65567851704,293.1510756263589
118.39999999990546,-32591.319497689983,-27647.580983550666,297.37187987545036
118.599999999905,-32711.184113252442,-27698.18446374382,301.5380213427169
118.79999999990453,-32444.47060752823,-27695.484573901398,285.65728148502814
118.99999999990406,-32484.47772455844,-27717.42017320986,286.74430523876214
119.1999999999036,-32559.510250886728,-27824.16522971756,284.8367580074335
119.39999999990313,-32868.40873070154,-27961.252126461826,295.17143353607264
119.59999999990266,-32886.98828608135,-28020.098174149287,292.7493550868848
119.7999999999022,-33089.904833918845,-28112.295704055054,299.40923857509006
119.99999999990173,-32714.129225086304,-27990.22615893546,284.1485105073851
120.19999999990127,-32692.362263707968,-27856.861015983217,290.8612767571373
120.3999999999008,-32765.881770507753,-27852.69068487067,295.53441492598137
120.59999999990033,-32693.84223093465,-27781.16955476161,295.50323196668313
120.79999999989987,-32642.13733051819,-27616.264650547033,302.31234976995665
120.9999999998994,-32721.286609773408,-27620.71591747494,306.80552599382065
121.19999999989894,-32345.822317114886,-27546.00978674434,288.71455703488454
121.39999999989847,-32445.22014127439,-27528.1515643131,295.7676507415454
121.599999999898,-32498.22876508301,-27509.121739307186,300.10085098788153
121.79999999989754,-32433.44844479172,-27371.514336646185,304.4814885010076
121.99999999989707,-32475.756062143366,-27496.567936037784,299.5042171180277
122.1999999998966,-32576.75836510965,-27495.23962867583,305.6595276942401
122.39999999989614,-32633.340961948154,-27615.585870257695,301.824066969363
122.59999999989567,-32529.635792619723,-27556.73546012788,299.12599869044743
122.7999999998952,-32416.10346321363,-27580.336523578473,290.8772584484503
122.99999999989474,-32361.48513680778,-27477.220988944056,293.7944244632776
123.19999999989427,-32658.412291925662,-27595.46671486998,304.5423295852166
123.39999999989381,-32525.716341149033,-27523.93276081278,300.8633611508274
123.59999999989334,-32390.25590399513,-27424.24466208223,298.71161151963855
123.79999999989288,-32354.15355804877,-27407.213316901005,297.56446764614793
